name,price,rr
"vivo T1X (Space Blue, 128 GB)","₹14,999","4,749 Ratings & 278 Reviews"
"vivo T1X (Space Blue, 128 GB)","₹12,999","86,077 Ratings & 4,780 Reviews"
"APPLE iPhone 14 Plus (Blue, 128 GB)","₹79,999","7,500 Ratings & 473 Reviews"
"OPPO A17 (Midnight Black, 64 GB)","₹12,499","3,436 Ratings & 126 Reviews"
"realme 9i 5G (Rocking Black, 64 GB)","₹14,999","43,749 Ratings & 2,078 Reviews"
"MOTOROLA G40 Fusion (Frosted Champagne, 64 GB)","₹10,999","33,008 Ratings & 3,705 Reviews"
"realme 9i 5G (Metallica Gold, 64 GB)","₹14,999","43,749 Ratings & 2,078 Reviews"
SAMSUNG Guru Music 2,"₹2,160","2,01,157 Ratings & 18,561 Reviews"
"SAMSUNG Galaxy M33 5G (Deep Ocean Blue, 128 GB)","₹18,488","1,504 Ratings & 107 Reviews"
"REDMI A1+ (Light Blue, 32 GB)","₹7,999",473 Ratings & 32 Reviews
"POCO M4 Pro 5G (Yellow, 128 GB)","₹18,999","15,833 Ratings & 1,203 Reviews"
"APPLE iPhone 11 (White, 64 GB)","₹40,999","1,89,129 Ratings & 10,984 Reviews"
"OPPO A17 (Sunlight Orange, 64 GB)","₹12,499","3,436 Ratings & 126 Reviews"
"SAMSUNG Galaxy S22 Plus 5G (Phantom Black, 128 GB)","₹69,999","2,663 Ratings & 290 Reviews"
Micromax J22,"₹1,168",423 Ratings & 32 Reviews
"OPPO F19s (Glowing Gold, 128 GB)","₹15,990","10,717 Ratings & 587 Reviews"
"REDMI A1+ (Light Green, 32 GB)","₹7,999",473 Ratings & 32 Reviews
"REDMI Note 11S (Polar White, 64 GB)","₹14,215","2,624 Ratings & 189 Reviews"
"Infinix NOTE 12i (Force Black, 64 GB)","₹10,499","3,202 Ratings & 334 Reviews"
"vivo Y15s (Wave Green, 32 GB)","₹9,499","4,059 Ratings & 297 Reviews"
"Nothing Phone (1) (Black, 128 GB)","₹29,999","59,293 Ratings & 7,483 Reviews"
"vivo V27 5G (Magic Blue, 128 GB)","₹32,999","2,693 Ratings & 186 Reviews"
"REDMI Note 12 Pro 5G (Glacier Blue, 128 GB)","₹24,999","14,060 Ratings & 1,389 Reviews"
Micromax X412,₹954,"15,363 Ratings & 1,306 Reviews"
"realme 9i 5G (Soulful Blue, 64 GB)","₹14,999","43,749 Ratings & 2,078 Reviews"
itel MagicX Pro (4G Hotspot),"₹2,649",601 Ratings & 73 Reviews
"POCO M4 Pro (Cool Blue, 128 GB)","₹17,999","15,340 Ratings & 1,311 Reviews"
Micromax X818,"₹1,528","2,634 Ratings & 210 Reviews"
"realme 9i 5G (Rocking Black, 128 GB)","₹16,999","6,128 Ratings & 428 Reviews"
"MOTOROLA edge 30 (Meteor Grey, 128 GB)","₹22,999","9,487 Ratings & 1,231 Reviews"
Micromax X512,"₹1,150",468 Ratings & 29 Reviews
"REDMI Note 11 (Starburst White, 64 GB)","₹12,999","1,449 Ratings & 106 Reviews"
"REDMI Note 11 (Horizon Blue, 64 GB)","₹13,000","1,449 Ratings & 106 Reviews"
"MOTOROLA G40 Fusion (Dynamic Gray, 64 GB)","₹10,999","33,008 Ratings & 3,705 Reviews"
"REDMI 10 Power (Sporty Orange, 128 GB)","₹11,700","1,281 Ratings & 58 Reviews"
"vivo T1 44W (Starry Sky, 128 GB)","₹18,999","6,368 Ratings & 508 Reviews"
"REDMI 10A (Charcoal Black, 64 GB)","₹8,349","7,612 Ratings & 423 Reviews"
"REDMI 10A (Sea Blue, 32 GB)","₹7,999","2,215 Ratings & 141 Reviews"
"REDMI 10A (Sea Blue, 64 GB)","₹8,689","7,612 Ratings & 423 Reviews"
"REDMI 10A (Slate Grey, 32 GB)","₹7,499","2,215 Ratings & 141 Reviews"
"SAMSUNG Galaxy M33 5G (Deep Ocean Blue, 128 GB)","₹16,150","8,567 Ratings & 659 Reviews"
GFive U707,₹749,"11,279 Ratings & 1,040 Reviews"
"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)","₹19,499","54,000 Ratings & 3,987 Reviews"
"OnePlus 11R 5G (Galactic Silver, 256 GB)","₹44,645",219 Ratings & 10 Reviews
"REDMI 10A (Slate grey, 64 GB)","₹8,690","7,612 Ratings & 423 Reviews"
DIZO Star 500,"₹1,790","13,151 Ratings & 1,512 Reviews"
"SAMSUNG Galaxy M04 (Light Green, 64 GB)","₹8,477",810 Ratings & 57 Reviews
"REDMI Note 11 (Starburst White, 128 GB)","₹14,850","1,449 Ratings & 106 Reviews"
"REDMI Note 11 (Space Black, 64 GB)","₹12,842","1,449 Ratings & 106 Reviews"
"REDMI 10A (Charcoal Black, 32 GB)","₹7,999","2,215 Ratings & 141 Reviews"
SAMSUNG GURU 1200,"₹1,599","1,320 Ratings & 87 Reviews"
LAVA A3,"₹1,212","27,782 Ratings & 2,835 Reviews"
Kechaoda K112,"₹1,540","20,518 Ratings & 2,136 Reviews"
"Infinix HOT 20 5G (Space Blue, 64 GB)","₹11,499","5,211 Ratings & 395 Reviews"
"Infinix HOT 20 5G (Blaster Green, 64 GB)","₹11,499","5,211 Ratings & 395 Reviews"
LAVA Hero 600i,₹918,327 Ratings & 23 Reviews
"MOTOROLA G32 (Satin Silver, 64 GB)","₹10,499","33,144 Ratings & 3,079 Reviews"
"realme Narzo 50 (Speed Blue, 64 GB)","₹11,980","16,622 Ratings & 1,066 Reviews"
"Infinix Zero 5G 2023 (Submariner Black, 128 GB)","₹15,999",761 Ratings & 72 Reviews
LAVA Hero 600i,₹910,327 Ratings & 23 Reviews
Kechaoda K66 The Music House 4,"₹1,210","16,762 Ratings & 1,257 Reviews"
"POCO X5 Pro 5G (Yellow, 128 GB)","₹22,999","3,580 Ratings & 379 Reviews"
"realme C30s (Stripe Blue, 32 GB)","₹6,999","5,118 Ratings & 177 Reviews"
"realme C30s (Stripe Black, 32 GB)","₹6,999","5,118 Ratings & 177 Reviews"
"MOTOROLA e13 (Cosmic Black, 64 GB)","₹6,999","1,426 Ratings & 112 Reviews"
"SAMSUNG Galaxy S22 Plus 5G (Green, 128 GB)","₹69,999","2,663 Ratings & 290 Reviews"
"Infinix Hot 12 Pro (Lightsaber Green, 64 GB)","₹9,499","9,441 Ratings & 552 Reviews"
"Infinix Hot 12 Pro (Electric Blue, 64 GB)","₹9,499","9,441 Ratings & 552 Reviews"
Kechaoda A26,"₹1,049","15,113 Ratings & 1,051 Reviews"
Kechaoda A26,"₹1,049","15,113 Ratings & 1,051 Reviews"
"realme Narzo 50A Prime (Flash Blue, 128 GB)","₹11,915",594 Ratings & 31 Reviews
"realme NARZO 50A PRIME (FLASH BLUE, 64 GB)","₹10,633",594 Ratings & 31 Reviews
Micromax X778,"₹1,444","2,677 Ratings & 266 Reviews"
"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)","₹21,873","4,291 Ratings & 359 Reviews"
